Column1	Column2	
1	AATBC	
2	ABHD11-AS1	
3	AC002454.1	
4	AC002511.1	
5	AC007403.1	
6	AC012065.7	
7	AC016745.3	
8	AC024560.2	
9	AC026166.2	
10	AC068718.1	
11	AC096655.1	
12	AC104699.1.1	
13	AC130710	
14	AC138128.1	
15	AC145110.1	
16	ACTA2-AS1	
17	ADAMTS9-AS2	
18	ADARB2-AS1	
19	AFAP1-AS1	
20	AGAP2-AS1	
21	Airn	
22	AK023096	
23	AK023948	
24	AK038798	
25	AK042766	
26	AK044955	
27	AK049728	
28	AK056098	
29	AK095147	
30	AK137898	
31	AK139328	
32	AK143294	
33	AK143693	
34	AK144081	
35	AK153778	
36	AK294004	
37	Alg2	
38	AOC4P	
39	AP000688.29	
40	AP001631.9	
41	APOC1P1-3	
42	APTR	
43	Arid2-IR	
44	ASAP1-IT1	
45	ATB	
46	ATP6V1G2-DDX39B	
47	ATXN7L3B	
48	ATXN8OS	
49	AX800134	
50	BACE1-AS	
51	BANCR	
52	BCAR4	
53	BCYRN1	
54	BDNF-AS	
55	BGLT3	
56	BLACAT1	
57	BOK-AS1	
58	BPESC1	
59	Bvht	
60	C15orf2	
61	C1QTNF9B-AS1	
62	CAHM	
63	CAI2	
64	CAR10	
65	CARL	
66	CASC11	
67	CASC15	
68	CASC2	
69	CASC22	
70	CASC8	
71	CASC9	
72	CBR3-AS1	
73	CCAT1	
74	CCAT2	
75	CCDC26	
76	CCEPR	
77	CDKN2B-AS1	
78	CEACAMP8	
79	CECR3	
80	CECR7	
81	CERNA2	
82	CHL1-AS2	
83	CLMAT3	
84	CPS1-IT1	
85	CRNDE	
86	CTB-89H12.4	
87	CTBP1-AS	
88	CTC-523E23.5	
89	CTD-2574D22.4	
90	CTD-2616J11.14	
91	CXCL1P1	
92	CYTOR	
93	DANCR	
94	DAOA-AS1	
95	DBET	
96	DBH-AS1	
97	DGCR5	
98	DIRC3	
99	DISC2	
100	DLEU1	
101	DLX6-AS1	
102	DNM3OS	
103	DPP10-AS1	
104	DRAIC	
105	Dreh	
106	DSCAM-AS1	
107	DUXAP8	
108	EGFR-AS1	
109	EGOT	
110	ENSG00000196096	
111	ENSG00000203325	
112	ENSG00000206129	
113	ENSG00000231185	
114	ENSG00000233251	
115	ENSG00000248176	
116	ENSG00000249364	
117	ENSG00000249772	
118	ENSG00000250195	
119	ENSG00000250608	
120	ENSG00000250961	
121	ENSG00000254154	
122	ENSG00000255471	
123	ENSG00000256218	
124	ENSG00000261777	
125	ENSG00000264772	
126	ENST00000425785	
127	ENST00000432431	
128	ENST00000433673	
129	ENST00000436681	
130	ENST00000438347	
131	ENST00000438550	
132	ENST00000454271	
133	ENST00000455309	
134	ENST00000480739	
135	EPB41L4A-AS1	
136	EPB41L4A-AS2	
137	ERICH1-AS1	
138	ESRG	
139	EWSAT1	
140	FALEC	
141	FAM212B-AS1	
142	FAM215A	
143	FAM30A	
144	FAM3D-AS1	
145	FAM66B	
146	FAS-AS1	
147	FENDRR	
148	FER1L4	
149	FEZF1-AS1	
150	FGF10-AS1	
151	FGF14-AS2	
152	FMR1-AS1	
153	FOXC2-AS1	
154	FOXCUT	
155	FOXP4-AS1	
156	FTH1P3	
157	FTX	
158	GACAT3	
159	GAPLINC	
160	GAS5	
161	GAS5-AS1	
162	GAS6-AS1	
163	GAS8-AS1	
164	GATA6-AS1	
165	GDNF-AS1	
166	GHET1	
167	GHSROS	
168	Gm12839	
169	Gm14005	
170	Gm15577	
171	Gm6644	
172	GNAS-AS1	
173	GPC3-AS1	
174	GSEC	
175	GTF2IRD2P1	
176	H19	
177	HAGLR	
178	HAGLROS	
179	HAR1A	
180	HAR1B	
181	HCG11	
182	HCP5	
183	HEIH	
184	HIF1A-AS1	
185	HIF1A-AS2	
186	HMlincRNA717	
187	HNF1A-AS1	
188	HOTAIR	
189	HOTAIRM1	
190	HOTTIP	
191	HOXA11-AS	
192	HOXA-AS2	
193	HOXA-AS3	
194	HOXB-AS3	
195	HOXC-AS1	
196	HTT-AS	
197	HULC	
198	HYMAI	
199	IFNG-AS1	
200	IGF2-AS	
201	IPW	
202	IRAIN	
203	JPX	
204	Kcna2-as	
205	KCNQ1DN	
206	KCNQ1OT1	
207	KIAA0087	
208	KRT18P55	
209	KRT7-AS	
210	LCAL1	
211	LEF1-AS1	
212	LINC00032	
213	LINC00052	
214	LINC00115	
215	LINC00160	
216	LINC00161	
217	LINC00184	
218	LINC00237	
219	LINC00261	
220	LINC00271	
221	LINC00299	
222	LINC00312	
223	LINC00313	
224	LINC00323	
225	LINC00336	
226	LINC00339	
227	LINC00342	
228	LINC00346	
229	LINC00426	
230	LINC00460	
231	LINC00467	
232	LINC00472	
233	LINC00473	
234	LINC00511	
235	LINC00520	
236	LINC00538	
237	LINC00582	
238	LINC00601	
239	LINC00628	
240	LINC00629	
241	LINC00635	
242	LINC00636	
243	LINC00667	
244	LINC00668	
245	LINC00673	
246	LINC00675	
247	LINC00850	
248	LINC00887	
249	LINC00917	
250	LINC00929	
251	LINC00963	
252	LINC00974	
253	LINC00982	
254	LINC00993	
255	LINC01016	
256	LINC01018	
257	LINC01020	
258	LINC01080	
259	LINC01089	
260	LINC01133	
261	LINC01138	
262	LINC01139	
263	LINC01158	
264	LINC01198	
265	LINC01204	
266	LINC01207	
267	LINC01233	
268	LINC01234	
269	LINC01262	
270	LINC01296	
271	LINC01315	
272	LINC01370	
273	LINC01405	
274	LINC01419	
275	LINC01507	
276	LINC01538	
277	LINC01616	
278	LINC01617	
279	LINC01721	
280	LINC01762	
281	LINC01798	
282	LINC01828	
283	LINC01852	
284	LINC02384	
285	linc-ITGB1	
286	LINCMD1	
287	lincRNA-p21	
288	LINC-ROR	
289	LINP1	
290	lnc-AL355149.1-1	
291	lncCAMTA1	
292	lnc-FRG2C-3	
293	lnc-HOXC4-3	
294	lnc-LAMC2-1	
295	lnc-LCE5A-1	
296	lnc-LIN54-1	
297	lnc-MBL2-4	
298	lnc-MX1-1	
299	lnc-NKX2-3-1	
300	lncRNA-422	
301	lncRNA-ATB	
302	lncRNA-CD244	
303	lncRNA-DLEU1	
304	lncRNA-FER1L4	
305	lncRNA-Hh	
306	lncRNA-MVIH	
307	lnc-RTN4R-1	
308	lnc-STXBP5-1	
309	lncTCF7	
310	lnc-TEAD4-1	
311	lnc-USP50-2	
312	lnc-ZNF180-2	
313	lnc-ZNF322-1	
314	lnc-ZNF354A-1	
315	lnc-ZNF674-1	
316	LOC100130476	
317	LOC100132354	
318	LOC100287225	
319	LOC101926975	
320	LOC283177	
321	LOC389641	
322	LOC440905	
323	LOC572558	
324	LOC728228	
325	LOC729966	
326	LOXL1-AS1	
327	LRRC75A-AS1	
328	LSINCT5	
329	LUADT1	
330	LUCAT1	
331	LUNAR1	
332	MAGI1-IT1	
333	MALAT1	
334	MAP3K14	
335	MAP3K20-AS1	
336	MAPKAPK5-AS1	
337	MAPT-AS1	
338	MCHR2-AS1	
339	MDC1-AS1	
340	MEG3	
341	MEG8	
342	MESTIT1	
343	MFI2	
344	MGAT3-AS1	
345	MHRT	
346	MIAT	
347	MIF-AS1	
348	MINCR	
349	MIR100HG	
350	MIR132	
351	MIR155HG	
352	MIR17HG	
353	MIR2052HG	
354	MIR22HG	
355	MIR31HG	
356	MIR4435-2HG	
357	MIR503HG	
358	MIR7-3HG	
359	MIR99AHG	
360	MRUL	
361	MT1DP	
362	MYCNUT	
363	n340599	
364	n375709	
365	NALT1	
366	NAMA	
367	NBAT1	
368	NBR2	
369	NCRUPAR	
370	NEAT1	
371	NEAT1_2	
372	NEXN-AS1	
373	NKILA	
374	NONHSAG011351	
375	NONHSAG051968	
376	NONHSAT037832	
377	NONHSAT041499	
378	NONHSAT089447	
379	NONHSAT104436	
380	NONHSAT112178	
381	NONHSAT114616.2	
382	NONHSAT130497	
383	NORAD	
384	NPPA-AS1	
385	NPTN-IT1	
386	NR_001284	
387	NR_003573	
388	NR_024118	
389	NR_026689	
390	NRIR	
391	NRON	
